STEVAL-MKI196V1 (LSM6DSO)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	A_X [deg] 	 A_Y [deg] 	 A_Z [deg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-20 	 15 	 1017 	-1 	 0 	 88 	-0.16625 	 0.63 	 -0.32375 	
-19 	 16 	 1017 	-1 	 0 	 88 	-0.2275 	 0.63875 	 -0.27125 	
-19 	 14 	 1017 	-1 	 0 	 88 	-0.21 	 0.62125 	 -0.20125 	
-19 	 15 	 1016 	-1 	 0 	 88 	-0.07 	 0.7 	 -0.21 	
-16 	 15 	 1017 	0 	 0 	 89 	-0.0175 	 0.6825 	 -0.105 	
-17 	 13 	 1017 	0 	 0 	 89 	0.02625 	 0.69125 	 -0.09625 	
-23 	 15 	 1017 	-1 	 0 	 88 	0.06125 	 0.76125 	 -0.14 	
-29 	 25 	 1011 	-1 	 1 	 88 	0.83125 	 1.0675 	 0.42875 	
-6 	 5 	 1020 	0 	 0 	 90 	-0.28875 	 0.595 	 0.81375 	
-20 	 16 	 1016 	-1 	 0 	 88 	-0.0175 	 0.6825 	 -0.035 	
-20 	 15 	 1016 	-1 	 0 	 88 	-0.18375 	 0.63 	 -0.035 	
-19 	 15 	 1016 	-1 	 0 	 88 	-0.21 	 0.6125 	 0.0525 	
-18 	 15 	 1016 	-1 	 0 	 88 	-0.1925 	 0.56875 	 0 	
-19 	 15 	 1016 	-1 	 0 	 88 	-0.245 	 0.62125 	 -0.0175 	
-19 	 15 	 1018 	-1 	 0 	 88 	-0.23625 	 0.53375 	 -0.00875 	
-20 	 15 	 1017 	-1 	 0 	 88 	-0.27125 	 0.60375 	 -0.00875 	
-20 	 15 	 1016 	-1 	 0 	 88 	-0.28 	 0.595 	 -0.04375 	
-19 	 16 	 1018 	-1 	 0 	 88 	-0.28 	 0.56 	 0.0525 	
-20 	 15 	 1016 	-1 	 0 	 88 	-0.245 	 0.595 	 0.02625 	
-20 	 15 	 1017 	-1 	 0 	 88 	-0.21 	 0.58625 	 -0.0525 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.25375 	 0.63 	 -0.00875 	
-20 	 15 	 1016 	-1 	 0 	 88 	-0.23625 	 0.56875 	 0.0175 	
-19 	 16 	 1017 	-1 	 0 	 88 	-0.23625 	 0.56875 	 0.07 	
-18 	 16 	 1018 	-1 	 0 	 88 	-0.2625 	 0.595 	 0.11375 	
-19 	 14 	 1018 	-1 	 0 	 88 	-0.23625 	 0.5425 	 -0.00875 	
-20 	 15 	 1016 	-1 	 0 	 88 	-0.245 	 0.6125 	 -0.14 	
-20 	 15 	 1017 	-1 	 0 	 88 	-0.28875 	 0.5425 	 -0.16625 	
-20 	 15 	 1017 	-1 	 0 	 88 	-0.2975 	 0.56875 	 -0.175 	
-19 	 15 	 1018 	-1 	 0 	 88 	-0.385 	 0.56 	 -0.13125 	
-19 	 14 	 1018 	-1 	 0 	 88 	-0.3675 	 0.49 	 -0.09625 	
-19 	 16 	 1016 	-1 	 0 	 88 	-0.28875 	 0.60375 	 -0.1225 	
-21 	 16 	 1016 	-1 	 0 	 88 	-0.175 	 0.6125 	 -0.0525 	
-20 	 16 	 1016 	-1 	 0 	 88 	-0.18375 	 0.63875 	 0.16625 	
-20 	 15 	 1016 	-1 	 0 	 88 	-0.14875 	 0.62125 	 0.2625 	
-19 	 15 	 1018 	-1 	 0 	 88 	-0.20125 	 0.58625 	 0.25375 	
-21 	 16 	 1017 	-1 	 0 	 88 	-0.21 	 0.63 	 0.14 	
-20 	 15 	 1016 	-1 	 0 	 88 	-0.21 	 0.56875 	 0.14 	
-19 	 15 	 1018 	-1 	 0 	 88 	-0.2975 	 0.63 	 0.20125 	
-19 	 15 	 1016 	-1 	 0 	 88 	-0.27125 	 0.56875 	 0.07875 	
-18 	 14 	 1017 	-1 	 0 	 88 	-0.35 	 0.55125 	 -0.00875 	
-20 	 15 	 1017 	-1 	 0 	 88 	-0.30625 	 0.58625 	 -0.04375 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.18375 	 0.60375 	 -0.0175 	
-19 	 15 	 1017 	-1 	 0 	 88 	-0.1575 	 0.6475 	 0.13125 	
-19 	 14 	 1017 	-1 	 0 	 88 	-0.18375 	 0.5775 	 0.07 	
-20 	 14 	 1017 	-1 	 0 	 88 	-0.14 	 0.6475 	 -0.0525 	
-19 	 15 	 1017 	-1 	 0 	 88 	-0.13125 	 0.62125 	 -0.11375 	
-19 	 15 	 1018 	-1 	 0 	 88 	-0.18375 	 0.6125 	 -0.1925 	
-20 	 14 	 1017 	-1 	 0 	 88 	-0.2625 	 0.62125 	 -0.21 	
-19 	 14 	 1018 	-1 	 0 	 88 	-0.245 	 0.56875 	 -0.2625 	
-19 	 16 	 1017 	-1 	 0 	 88 	-0.245 	 0.6125 	 -0.23625 	
-19 	 15 	 1017 	-1 	 0 	 88 	-0.21 	 0.56 	 -0.245 	
-21 	 16 	 1017 	-1 	 0 	 88 	-0.25375 	 0.56875 	 -0.175 	
-21 	 18 	 1017 	-1 	 1 	 88 	-0.25375 	 0.60375 	 0 	
-20 	 15 	 1016 	-1 	 0 	 88 	-0.25375 	 0.55125 	 0.25375 	
-19 	 15 	 1017 	-1 	 0 	 88 	-0.2975 	 0.5775 	 0.16625 	
-20 	 15 	 1016 	-1 	 0 	 88 	-0.3325 	 0.525 	 -0.06125 	
-19 	 14 	 1018 	-1 	 0 	 88 	-0.28 	 0.5425 	 -0.1575 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.2975 	 0.56 	 -0.245 	
-19 	 15 	 1017 	-1 	 0 	 88 	-0.28 	 0.55125 	 -0.23625 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.2625 	 0.58625 	 -0.21875 	
-19 	 16 	 1018 	-1 	 0 	 88 	-0.245 	 0.55125 	 -0.1575 	
-21 	 16 	 1017 	-1 	 0 	 88 	-0.2625 	 0.595 	 -0.1575 	
-20 	 15 	 1018 	-1 	 0 	 88 	-0.32375 	 0.53375 	 -0.14875 	
-19 	 15 	 1018 	-1 	 0 	 88 	-0.2975 	 0.56875 	 -0.1925 	
-20 	 15 	 1018 	-1 	 0 	 88 	-0.2625 	 0.5775 	 -0.20125 	
-19 	 15 	 1017 	-1 	 0 	 88 	-0.23625 	 0.525 	 -0.21875 	
-19 	 15 	 1016 	-1 	 0 	 88 	-0.21 	 0.595 	 -0.2275 	
-20 	 16 	 1018 	-1 	 0 	 88 	-0.1925 	 0.5775 	 -0.28 	
-19 	 15 	 1017 	-1 	 0 	 88 	-0.21875 	 0.6125 	 -0.25375 	
-20 	 15 	 1017 	-1 	 0 	 88 	-0.25375 	 0.5775 	 -0.2275 	
-19 	 15 	 1017 	-1 	 0 	 88 	-0.245 	 0.55125 	 -0.23625 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.28875 	 0.62125 	 -0.25375 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.245 	 0.58625 	 -0.28 	
-20 	 16 	 1018 	-1 	 0 	 88 	-0.20125 	 0.63 	 -0.2975 	
-19 	 15 	 1016 	-1 	 0 	 88 	-0.14 	 0.665 	 -0.30625 	
-20 	 16 	 1016 	-1 	 0 	 88 	-0.07875 	 0.6475 	 -0.32375 	
-20 	 15 	 1017 	-1 	 0 	 88 	-0.20125 	 0.5775 	 -0.245 	
-19 	 16 	 1018 	-1 	 0 	 88 	-0.18375 	 0.6125 	 -0.28875 	
-19 	 16 	 1018 	-1 	 0 	 88 	-0.14875 	 0.65625 	 -0.28 	
-19 	 16 	 1018 	-1 	 0 	 88 	-0.1925 	 0.6125 	 -0.20125 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.23625 	 0.6125 	 -0.175 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.23625 	 0.60375 	 -0.14875 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.27125 	 0.56 	 -0.11375 	
-20 	 15 	 1017 	-1 	 0 	 88 	-0.315 	 0.5775 	 -0.13125 	
-19 	 16 	 1017 	-1 	 0 	 88 	-0.2625 	 0.53375 	 -0.21875 	
-20 	 15 	 1016 	-1 	 0 	 88 	-0.28875 	 0.56875 	 -0.21 	
-19 	 15 	 1017 	-1 	 0 	 88 	-0.28875 	 0.53375 	 -0.21 	
-20 	 15 	 1018 	-1 	 0 	 88 	-0.3325 	 0.55125 	 -0.245 	
-19 	 16 	 1017 	-1 	 0 	 88 	-0.32375 	 0.56875 	 -0.21875 	
-20 	 15 	 1017 	-1 	 0 	 88 	-0.2625 	 0.56 	 -0.2625 	
-19 	 15 	 1017 	-1 	 0 	 88 	-0.27125 	 0.60375 	 -0.20125 	
-19 	 15 	 1017 	-1 	 0 	 88 	-0.2625 	 0.5775 	 -0.175 	
-19 	 17 	 1018 	-1 	 0 	 88 	-0.28 	 0.56 	 -0.16625 	
-20 	 16 	 1018 	-1 	 0 	 88 	-0.28 	 0.5775 	 -0.11375 	
-20 	 16 	 1018 	-1 	 0 	 88 	-0.32375 	 0.5425 	 -0.13125 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.32375 	 0.595 	 -0.14875 	
-20 	 16 	 1016 	-1 	 0 	 88 	-0.2625 	 0.56 	 -0.21875 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.2975 	 0.56875 	 -0.20125 	
-20 	 16 	 1018 	-1 	 0 	 88 	-0.315 	 0.55125 	 -0.21 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.30625 	 0.56875 	 -0.20125 	
-19 	 15 	 1018 	-1 	 0 	 88 	-0.315 	 0.56875 	 -0.1575 	
-19 	 16 	 1018 	-1 	 0 	 88 	-0.25375 	 0.5425 	 -0.18375 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.25375 	 0.58625 	 -0.16625 	
-20 	 17 	 1018 	-1 	 0 	 88 	-0.23625 	 0.55125 	 -0.18375 	
-19 	 16 	 1018 	-1 	 0 	 88 	-0.2625 	 0.56875 	 -0.1575 	
-20 	 16 	 1018 	-1 	 0 	 88 	-0.28 	 0.56 	 -0.1575 	
-19 	 15 	 1017 	-1 	 0 	 88 	-0.28875 	 0.525 	 -0.20125 	
-20 	 15 	 1019 	-1 	 0 	 88 	-0.2975 	 0.58625 	 -0.20125 	
-20 	 15 	 1017 	-1 	 0 	 88 	-0.2275 	 0.5425 	 -0.245 	
-20 	 16 	 1018 	-1 	 0 	 88 	-0.1925 	 0.58625 	 -0.2275 	
-19 	 17 	 1018 	-1 	 0 	 88 	-0.21 	 0.58625 	 -0.21 	
-19 	 16 	 1017 	-1 	 0 	 88 	-0.20125 	 0.595 	 -0.20125 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.2275 	 0.63875 	 -0.2275 	
-20 	 16 	 1019 	-1 	 0 	 88 	-0.23625 	 0.58625 	 -0.16625 	
-19 	 16 	 1017 	-1 	 0 	 88 	-0.21875 	 0.595 	 -0.14 	
-20 	 16 	 1018 	-1 	 0 	 88 	-0.21 	 0.5775 	 -0.1925 	
-21 	 16 	 1017 	-1 	 0 	 88 	-0.21 	 0.63 	 -0.175 	
-20 	 17 	 1018 	-1 	 0 	 88 	-0.23625 	 0.6475 	 -0.1925 	
-20 	 16 	 1016 	-1 	 0 	 88 	-0.25375 	 0.55125 	 -0.175 	
-19 	 16 	 1018 	-1 	 0 	 88 	-0.28 	 0.5775 	 -0.14875 	
-20 	 17 	 1018 	-1 	 0 	 88 	-0.25375 	 0.53375 	 -0.1925 	
-20 	 17 	 1016 	-1 	 0 	 88 	-0.27125 	 0.56875 	 -0.18375 	
-20 	 17 	 1017 	-1 	 0 	 88 	-0.27125 	 0.56 	 -0.175 	
-19 	 16 	 1017 	-1 	 0 	 88 	-0.27125 	 0.55125 	 -0.14 	
-19 	 16 	 1016 	-1 	 0 	 88 	-0.27125 	 0.5775 	 -0.105 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.28 	 0.56875 	 -0.16625 	
-19 	 16 	 1017 	-1 	 0 	 88 	-0.30625 	 0.595 	 -0.1925 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.2975 	 0.5775 	 -0.20125 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.2975 	 0.55125 	 -0.18375 	
-21 	 16 	 1018 	-1 	 0 	 88 	-0.315 	 0.56875 	 -0.21875 	
-19 	 16 	 1017 	-1 	 0 	 88 	-0.28 	 0.56875 	 -0.21 	
-21 	 16 	 1018 	-1 	 0 	 88 	-0.2975 	 0.58625 	 -0.21875 	
-19 	 16 	 1017 	-1 	 0 	 88 	-0.27125 	 0.5775 	 -0.20125 	
-19 	 16 	 1017 	-1 	 0 	 88 	-0.2975 	 0.58625 	 -0.18375 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.315 	 0.55125 	 -0.21875 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.27125 	 0.53375 	 -0.21875 	
-20 	 15 	 1017 	-1 	 0 	 88 	-0.23625 	 0.6125 	 -0.28 	
-19 	 15 	 1017 	-1 	 0 	 88 	-0.11375 	 0.63875 	 -0.42875 	
-20 	 16 	 1016 	-1 	 0 	 88 	-0.0875 	 0.665 	 -0.525 	
-21 	 16 	 1019 	-1 	 0 	 88 	-0.14875 	 0.595 	 -0.595 	
-21 	 18 	 1016 	-1 	 1 	 88 	-0.16625 	 0.60375 	 -0.53375 	
-35 	 21 	 1018 	-2 	 1 	 87 	-0.21875 	 0.665 	 -0.14 	
-4 	 10 	 1017 	0 	 0 	 90 	-0.5075 	 0.34125 	 0.56 	
-20 	 16 	 1019 	-1 	 0 	 88 	-0.25375 	 0.60375 	 -0.2275 	
-21 	 18 	 1018 	-1 	 1 	 88 	-0.18375 	 0.56 	 -0.28 	
-20 	 14 	 1018 	-1 	 0 	 88 	-0.2275 	 0.5775 	 -0.1225 	
-19 	 16 	 1016 	-1 	 0 	 88 	-0.20125 	 0.58625 	 -0.30625 	
-20 	 17 	 1016 	-1 	 1 	 88 	-0.18375 	 0.58625 	 -0.2975 	
