STEVAL-MKI196V1 (LSM6DSO)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	A_X [deg] 	 A_Y [deg] 	 A_Z [deg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	TEMP [C] 	
-5 	 11 	 1020 	0 	 0 	 90 	-0.37625 	 0.6825 	 3.0275 	23.6 	
6 	 10 	 1018 	0 	 0 	 90 	0.04375 	 0.58625 	 2.82625 	23.6 	
7 	 14 	 1015 	0 	 0 	 90 	0.21 	 0.42875 	 1.74125 	23.6 	
6 	 13 	 1016 	0 	 0 	 90 	0.035 	 0.525 	 0.7525 	23.6 	
-5 	 14 	 1016 	0 	 0 	 90 	-0.21875 	 0.60375 	 0.07 	23.6 	
-7 	 12 	 1018 	0 	 0 	 90 	-0.4375 	 0.67375 	 -0.00875 	23.6 	
-8 	 8 	 1019 	0 	 0 	 90 	-0.37625 	 0.60375 	 0.00875 	23.6 	
-9 	 6 	 1018 	0 	 0 	 89 	-0.21875 	 0.51625 	 -0.18375 	23.6 	
-10 	 6 	 1019 	0 	 0 	 89 	-0.04375 	 0.48125 	 -0.315 	23.6 	
-6 	 6 	 1018 	0 	 0 	 90 	0.0875 	 0.41125 	 -0.49875 	23.6 	
-7 	 10 	 1018 	0 	 0 	 90 	0.04375 	 0.4025 	 -0.875 	23.6 	
-5 	 15 	 1014 	0 	 0 	 90 	0.07 	 0.4025 	 -0.91875 	23.6 	
-6 	 17 	 1017 	0 	 0 	 90 	-0.09625 	 0.4725 	 -0.65625 	23.6 	
-11 	 21 	 1008 	0 	 1 	 88 	-0.3325 	 0.58625 	 -0.2625 	23.6 	
-2 	 15 	 1019 	0 	 0 	 90 	-0.93625 	 0.81375 	 0.42 	23.6 	
-6 	 14 	 1015 	0 	 0 	 90 	-0.74375 	 0.77 	 0.37625 	23.6 	
-5 	 10 	 1015 	0 	 0 	 90 	-0.945 	 0.83125 	 0.385 	23.6 	
-7 	 5 	 1021 	0 	 0 	 90 	-0.945 	 0.83125 	 0.175 	23.6 	
-16 	 8 	 1012 	0 	 0 	 89 	-0.7175 	 0.70875 	 0.11375 	23.7 	
-18 	 8 	 1026 	-1 	 0 	 88 	-1.21625 	 0.8575 	 0.7175 	23.7 	
-17 	 12 	 1017 	0 	 0 	 89 	-0.4725 	 0.65625 	 1.44375 	23.6 	
-14 	 11 	 1016 	0 	 0 	 89 	-0.2625 	 0.5775 	 2.1875 	23.6 	
-20 	 11 	 1015 	-1 	 0 	 88 	-0.27125 	 0.56875 	 2.54625 	23.6 	
-14 	 16 	 1019 	0 	 0 	 89 	-0.23625 	 0.595 	 3.43875 	23.6 	
5 	 11 	 1018 	0 	 0 	 90 	0.0525 	 0.5425 	 4.08625 	23.6 	
13 	 8 	 1016 	0 	 0 	 89 	0.16625 	 0.56 	 2.91375 	23.6 	
17 	 7 	 1016 	0 	 0 	 89 	0.09625 	 0.525 	 1.28625 	23.6 	
-5 	 14 	 1013 	0 	 0 	 90 	-0.035 	 0.5425 	 -0.0525 	23.6 	
