STEVAL-MKI196V1 (LSM6DSO)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	A_X [deg] 	 A_Y [deg] 	 A_Z [deg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	TEMP [C] 	
-7 	 10 	 1017 	0 	 0 	 90 	0.00875 	 0.4375 	 -0.30625 	23.7 	
-8 	 10 	 1017 	0 	 0 	 90 	0.07 	 0.385 	 -0.3325 	23.6 	
-7 	 11 	 1016 	0 	 0 	 90 	0.1225 	 0.42875 	 -0.35 	23.6 	
-7 	 11 	 1017 	0 	 0 	 90 	0.14 	 0.42 	 -0.37625 	23.6 	
-7 	 9 	 1018 	0 	 0 	 90 	0.28 	 0.39375 	 -0.39375 	23.6 	
-8 	 10 	 1017 	0 	 0 	 90 	0.37625 	 0.35875 	 -0.53375 	23.6 	
-13 	 10 	 1017 	0 	 0 	 89 	0.3675 	 0.315 	 -0.60375 	23.6 	
-24 	 19 	 1011 	-1 	 1 	 88 	-0.14875 	 0.51625 	 0.21875 	23.6 	
-6 	 10 	 1023 	0 	 0 	 90 	-0.2625 	 0.595 	 1.63625 	23.6 	
1 	 7 	 1020 	0 	 0 	 90 	0.25375 	 0.4025 	 1.47 	23.6 	
-5 	 13 	 1017 	0 	 0 	 90 	0.74375 	 0.2275 	 0.60375 	23.6 	
-1 	 15 	 1011 	0 	 0 	 90 	0.70875 	 0.2275 	 0.44625 	23.6 	
-1 	 12 	 1018 	0 	 0 	 90 	0.0525 	 0.48125 	 0.41125 	23.6 	
-5 	 13 	 1014 	0 	 0 	 90 	-0.0175 	 0.48125 	 0.18375 	23.6 	
-9 	 11 	 1015 	0 	 0 	 89 	-0.13125 	 0.56875 	 0.0875 	23.6 	
-10 	 10 	 1017 	0 	 0 	 89 	-0.385 	 0.63875 	 0.30625 	23.6 	
-9 	 8 	 1020 	0 	 0 	 89 	-0.44625 	 0.63875 	 0.385 	23.6 	
-9 	 10 	 1017 	0 	 0 	 89 	-0.07875 	 0.5075 	 0.27125 	23.6 	
-10 	 12 	 1019 	0 	 0 	 89 	-0.02625 	 0.455 	 0.34125 	23.6 	
-2 	 15 	 1014 	0 	 0 	 90 	0.175 	 0.4025 	 0.48125 	23.6 	
-1 	 15 	 1015 	0 	 0 	 90 	0.07 	 0.4375 	 0.27125 	23.6 	
-2 	 15 	 1015 	0 	 0 	 90 	-0.1925 	 0.51625 	 0.0175 	23.6 	
-5 	 14 	 1014 	0 	 0 	 90 	-0.49875 	 0.7175 	 -0.07 	23.6 	
-10 	 13 	 1015 	0 	 0 	 89 	-0.84875 	 0.79625 	 0.0525 	23.6 	
-9 	 12 	 1016 	0 	 0 	 89 	-1.19 	 0.8575 	 0.3325 	23.6 	
-7 	 8 	 1016 	0 	 0 	 90 	-1.1025 	 0.875 	 0.53375 	23.6 	
-6 	 7 	 1021 	0 	 0 	 90 	-1.12875 	 0.84 	 0.41125 	23.6 	
-8 	 10 	 1016 	0 	 0 	 90 	-0.48125 	 0.6475 	 -0.02625 	23.6 	
-10 	 10 	 1017 	0 	 0 	 89 	-0.42875 	 0.63875 	 -0.14875 	23.6 	
-8 	 13 	 1015 	0 	 0 	 90 	-0.48125 	 0.6125 	 -0.00875 	23.6 	
-10 	 14 	 1015 	0 	 0 	 89 	-0.58625 	 0.70875 	 0.2625 	23.6 	
-8 	 11 	 1020 	0 	 0 	 90 	-0.67375 	 0.69125 	 0.53375 	23.7 	
-5 	 11 	 1019 	0 	 0 	 90 	-0.39375 	 0.60375 	 0.65625 	23.7 	
-4 	 10 	 1018 	0 	 0 	 90 	-0.21875 	 0.55125 	 0.44625 	23.7 	
-5 	 10 	 1018 	0 	 0 	 90 	-0.20125 	 0.53375 	 0.02625 	23.7 	
-7 	 10 	 1018 	0 	 0 	 90 	-0.16625 	 0.48125 	 -0.2275 	23.6 	
-8 	 10 	 1018 	0 	 0 	 90 	-0.175 	 0.4725 	 -0.315 	23.6 	
-7 	 11 	 1016 	0 	 0 	 90 	-0.105 	 0.46375 	 -0.35 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.0875 	 0.46375 	 -0.35 	23.6 	
-7 	 12 	 1018 	0 	 0 	 90 	-0.13125 	 0.5075 	 -0.39375 	23.6 	
-6 	 13 	 1016 	0 	 0 	 90 	-0.0525 	 0.46375 	 -0.455 	23.6 	
-7 	 13 	 1017 	0 	 0 	 90 	-0.16625 	 0.49875 	 -0.3675 	23.6 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.1925 	 0.5075 	 -0.28 	23.6 	
-7 	 11 	 1017 	0 	 0 	 90 	-0.30625 	 0.5425 	 -0.28875 	23.6 	
-8 	 12 	 1015 	0 	 0 	 90 	-0.34125 	 0.5425 	 -0.27125 	23.6 	
-9 	 10 	 1020 	0 	 0 	 89 	-0.46375 	 0.55125 	 -0.245 	23.6 	
-8 	 11 	 1019 	0 	 0 	 90 	-0.28875 	 0.4725 	 -0.1225 	23.6 	
-8 	 12 	 1015 	0 	 0 	 90 	-0.28 	 0.51625 	 0.07 	23.6 	
-6 	 11 	 1017 	0 	 0 	 90 	-0.27125 	 0.5075 	 0.1225 	23.6 	
-7 	 10 	 1018 	0 	 0 	 90 	-0.25375 	 0.55125 	 0.14 	23.6 	
-7 	 11 	 1016 	0 	 0 	 90 	-0.23625 	 0.53375 	 0.105 	23.6 	
-7 	 11 	 1017 	0 	 0 	 90 	-0.23625 	 0.53375 	 -0.175 	23.7 	
-7 	 10 	 1017 	0 	 0 	 90 	-0.20125 	 0.5425 	 -0.21875 	23.7 	
-7 	 10 	 1017 	0 	 0 	 90 	-0.20125 	 0.55125 	 -0.30625 	23.7 	
-8 	 10 	 1017 	0 	 0 	 90 	-0.14 	 0.525 	 -0.34125 	23.7 	
-7 	 10 	 1017 	0 	 0 	 90 	-0.16625 	 0.5075 	 -0.35 	23.7 	
-8 	 10 	 1017 	0 	 0 	 90 	-0.11375 	 0.5075 	 -0.42 	23.7 	
-8 	 11 	 1017 	0 	 0 	 90 	-0.09625 	 0.525 	 -0.46375 	23.7 	
-6 	 11 	 1019 	0 	 0 	 90 	-0.07875 	 0.5075 	 -0.56875 	23.7 	
-8 	 11 	 1021 	0 	 0 	 90 	0.11375 	 0.42 	 -0.56875 	23.7 	
-7 	 12 	 1015 	0 	 0 	 90 	0.3325 	 0.28875 	 -0.5075 	23.7 	
-8 	 9 	 1017 	0 	 0 	 90 	0.245 	 0.30625 	 -0.51625 	23.6 	
-7 	 11 	 1019 	0 	 0 	 90 	0.455 	 0.2625 	 -0.5775 	23.6 	
-7 	 10 	 1018 	0 	 0 	 90 	0.69125 	 0.175 	 -0.58625 	23.6 	
-9 	 13 	 1017 	0 	 0 	 89 	0.8925 	 0.0875 	 -0.5425 	23.6 	
-9 	 12 	 1019 	0 	 0 	 89 	0.91875 	 0.0875 	 -0.39375 	23.6 	
-9 	 12 	 1017 	0 	 0 	 89 	1.21625 	 0.00875 	 -0.245 	23.6 	
-8 	 15 	 1012 	0 	 0 	 90 	1.11125 	 0.07875 	 -0.035 	23.7 	
-4 	 9 	 1021 	0 	 0 	 90 	0.46375 	 0.30625 	 0.07 	23.7 	
-9 	 13 	 1015 	0 	 0 	 89 	0.7525 	 0.1575 	 -0.14 	23.6 	
-12 	 14 	 1017 	0 	 0 	 89 	0.7 	 0.2275 	 0.06125 	23.6 	
-10 	 16 	 1013 	0 	 0 	 89 	0.56 	 0.27125 	 0.60375 	23.7 	
-4 	 11 	 1018 	0 	 0 	 90 	0.11375 	 0.42875 	 1.0325 	23.7 	
0 	 12 	 1014 	0 	 0 	 90 	0.1225 	 0.42875 	 0.805 	23.6 	
-2 	 13 	 1016 	0 	 0 	 90 	-0.0875 	 0.5075 	 0.23625 	23.6 	
-5 	 14 	 1018 	0 	 0 	 90 	-0.2975 	 0.56875 	 -0.1225 	23.7 	
-5 	 13 	 1018 	0 	 0 	 90 	-0.245 	 0.525 	 -0.21 	23.7 	
-7 	 14 	 1017 	0 	 0 	 90 	-0.20125 	 0.48125 	 -0.23625 	23.7 	
-7 	 12 	 1018 	0 	 0 	 90 	-0.18375 	 0.53375 	 -0.2975 	23.7 	
-8 	 11 	 1017 	0 	 0 	 90 	-0.175 	 0.4725 	 -0.28 	23.6 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.16625 	 0.46375 	 -0.32375 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.11375 	 0.5075 	 -0.2975 	23.7 	
-7 	 13 	 1017 	0 	 0 	 90 	-0.1925 	 0.53375 	 -0.2975 	23.7 	
-6 	 15 	 1017 	0 	 0 	 90 	-0.175 	 0.53375 	 -0.28875 	23.6 	
-7 	 15 	 1017 	0 	 0 	 90 	-0.21875 	 0.525 	 -0.09625 	23.6 	
-5 	 14 	 1016 	0 	 0 	 90 	-0.1925 	 0.58625 	 0.175 	23.6 	
-5 	 13 	 1016 	0 	 0 	 90 	-0.30625 	 0.60375 	 0.1225 	23.6 	
-7 	 13 	 1017 	0 	 0 	 90 	-0.4025 	 0.6125 	 -0.035 	23.6 	
-7 	 11 	 1016 	0 	 0 	 90 	-0.5425 	 0.6475 	 -0.00875 	23.6 	
-7 	 10 	 1019 	0 	 0 	 90 	-0.49 	 0.65625 	 -0.1225 	23.7 	
-8 	 10 	 1017 	0 	 0 	 90 	-0.4375 	 0.5775 	 -0.20125 	23.7 	
-7 	 12 	 1016 	0 	 0 	 90 	-0.39375 	 0.55125 	 -0.25375 	23.6 	
-7 	 13 	 1017 	0 	 0 	 90 	-0.48125 	 0.62125 	 -0.2275 	23.6 	
-5 	 14 	 1015 	0 	 0 	 90 	-0.55125 	 0.63875 	 -0.1925 	23.6 	
-6 	 14 	 1016 	0 	 0 	 90 	-0.63875 	 0.69125 	 -0.14 	23.6 	
-6 	 14 	 1018 	0 	 0 	 90 	-0.70875 	 0.7525 	 -0.11375 	23.6 	
-7 	 12 	 1018 	0 	 0 	 90 	-0.56 	 0.7 	 -0.1575 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.5075 	 0.65625 	 -0.20125 	23.7 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.595 	 0.665 	 -0.175 	23.7 	
-7 	 11 	 1017 	0 	 0 	 90 	-0.525 	 0.6125 	 -0.245 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.44625 	 0.60375 	 -0.2975 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.41125 	 0.56875 	 -0.2975 	23.7 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.3325 	 0.58625 	 -0.28875 	23.7 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.245 	 0.55125 	 -0.315 	23.6 	
-7 	 12 	 1018 	0 	 0 	 90 	-0.175 	 0.525 	 -0.28875 	23.6 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.13125 	 0.51625 	 -0.2975 	23.6 	
-7 	 12 	 1018 	0 	 0 	 90 	-0.09625 	 0.44625 	 -0.315 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.035 	 0.46375 	 -0.35 	23.7 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.14875 	 0.46375 	 -0.39375 	23.7 	
-7 	 13 	 1016 	0 	 0 	 90 	-0.28 	 0.5425 	 -0.385 	23.7 	
-7 	 13 	 1019 	0 	 0 	 90 	-0.25375 	 0.56875 	 -0.28 	23.7 	
-6 	 13 	 1016 	0 	 0 	 90 	-0.13125 	 0.49 	 -0.14 	23.6 	
-5 	 12 	 1016 	0 	 0 	 90 	-0.20125 	 0.5425 	 -0.13125 	23.6 	
-6 	 12 	 1016 	0 	 0 	 90 	-0.30625 	 0.56 	 -0.16625 	23.6 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.37625 	 0.58625 	 -0.21 	23.6 	
-7 	 11 	 1017 	0 	 0 	 90 	-0.35875 	 0.62125 	 -0.18375 	23.6 	
-7 	 11 	 1018 	0 	 0 	 90 	-0.2975 	 0.595 	 -0.21875 	23.6 	
-8 	 10 	 1019 	0 	 0 	 90 	-0.20125 	 0.56 	 -0.28875 	23.6 	
-8 	 11 	 1017 	0 	 0 	 90 	-0.1575 	 0.48125 	 -0.35875 	23.6 	
-6 	 12 	 1016 	0 	 0 	 90 	-0.1225 	 0.46375 	 -0.3325 	23.6 	
-6 	 13 	 1018 	0 	 0 	 90 	-0.06125 	 0.42875 	 -0.2975 	23.6 	
-5 	 13 	 1016 	0 	 0 	 90 	0.035 	 0.44625 	 -0.3325 	23.6 	
-5 	 14 	 1015 	0 	 0 	 90 	-0.0525 	 0.49 	 -0.37625 	23.6 	
-7 	 13 	 1016 	0 	 0 	 90 	-0.28 	 0.56875 	 -0.385 	23.6 	
-7 	 11 	 1017 	0 	 0 	 90 	-0.37625 	 0.595 	 -0.30625 	23.6 	
-8 	 12 	 1016 	0 	 0 	 90 	-0.4025 	 0.56875 	 -0.23625 	23.7 	
-11 	 13 	 1014 	0 	 0 	 89 	-0.60375 	 0.63 	 -0.0525 	23.7 	
-10 	 16 	 1005 	0 	 0 	 89 	-1.51375 	 0.95375 	 0.4375 	23.7 	
-12 	 14 	 1016 	0 	 0 	 89 	-2.625 	 1.3475 	 0.945 	23.7 	
-7 	 2 	 1042 	0 	 0 	 90 	-2.7825 	 1.39125 	 1.4525 	23.6 	
-4 	 19 	 1007 	0 	 1 	 88 	-0.595 	 0.6825 	 1.2075 	23.6 	
-3 	 9 	 1018 	0 	 0 	 90 	-0.2975 	 0.525 	 0.7875 	23.6 	
-5 	 10 	 1019 	0 	 0 	 90 	-0.07875 	 0.5075 	 0.34125 	23.6 	
-6 	 11 	 1015 	0 	 0 	 90 	-0.14875 	 0.5075 	 0 	23.6 	
-6 	 9 	 1019 	0 	 0 	 90 	-0.0875 	 0.55125 	 -0.14 	23.6 	
-8 	 9 	 1018 	0 	 0 	 90 	-0.0175 	 0.46375 	 -0.2625 	23.6 	
-7 	 10 	 1016 	0 	 0 	 90 	-0.02625 	 0.44625 	 -0.28875 	23.6 	
-8 	 10 	 1017 	0 	 0 	 90 	0 	 0.42 	 -0.30625 	23.7 	
-7 	 12 	 1018 	0 	 0 	 90 	-0.02625 	 0.44625 	 -0.2975 	23.7 	
-6 	 11 	 1017 	0 	 0 	 90 	0.04375 	 0.42875 	 -0.28875 	23.6 	
-6 	 11 	 1017 	0 	 0 	 90 	0.14 	 0.3675 	 -0.35875 	23.6 	
-7 	 10 	 1017 	0 	 0 	 90 	0.21 	 0.39375 	 -0.42875 	23.6 	
-9 	 11 	 1017 	0 	 0 	 89 	0.30625 	 0.35 	 -0.4725 	23.6 	
-9 	 12 	 1016 	0 	 0 	 89 	0.4375 	 0.315 	 -0.3675 	23.7 	
-6 	 12 	 1016 	0 	 0 	 90 	0.28 	 0.30625 	 -0.2275 	23.7 	
-5 	 12 	 1016 	0 	 0 	 90 	0.09625 	 0.39375 	 -0.1925 	23.6 	
-6 	 12 	 1017 	0 	 0 	 90 	0.02625 	 0.455 	 -0.25375 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.02625 	 0.4725 	 -0.28875 	23.6 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.0175 	 0.44625 	 -0.32375 	23.6 	
-7 	 12 	 1018 	0 	 0 	 90 	-0.07 	 0.4375 	 -0.35875 	23.6 	
-8 	 12 	 1016 	0 	 0 	 90 	0.0525 	 0.455 	 -0.34125 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.035 	 0.46375 	 -0.28 	23.6 	
-11 	 12 	 1017 	0 	 0 	 89 	-0.0175 	 0.44625 	 -0.1575 	23.6 	
-17 	 15 	 1016 	0 	 0 	 89 	0.02625 	 0.46375 	 0.21875 	23.6 	
-11 	 13 	 1017 	0 	 0 	 89 	-0.0175 	 0.49 	 0.9625 	23.6 	
-6 	 13 	 1016 	0 	 0 	 90 	0.02625 	 0.49 	 1.37375 	23.6 	
-6 	 12 	 1015 	0 	 0 	 90 	-0.0525 	 0.46375 	 1.3825 	23.6 	
-1 	 11 	 1016 	0 	 0 	 90 	-0.11375 	 0.53375 	 1.25125 	23.6 	
-3 	 12 	 1016 	0 	 0 	 90 	-0.13125 	 0.51625 	 0.7875 	23.6 	
-4 	 12 	 1016 	0 	 0 	 90 	-0.1925 	 0.5075 	 0.46375 	23.6 	
-11 	 12 	 1018 	0 	 0 	 89 	-0.2625 	 0.56 	 0.3675 	23.6 	
-10 	 11 	 1016 	0 	 0 	 89 	-0.1575 	 0.49875 	 0.55125 	23.6 	
-6 	 10 	 1017 	0 	 0 	 90 	-0.1925 	 0.51625 	 0.60375 	23.6 	
-9 	 11 	 1017 	0 	 0 	 89 	-0.21875 	 0.55125 	 0.56875 	23.6 	
-5 	 10 	 1018 	0 	 0 	 90 	-0.18375 	 0.55125 	 0.55125 	23.6 	
-6 	 13 	 1018 	0 	 0 	 90 	-0.175 	 0.5425 	 0.41125 	23.7 	
-13 	 16 	 1015 	0 	 0 	 89 	-0.21875 	 0.55125 	 0.455 	23.7 	
-7 	 13 	 1016 	0 	 0 	 90 	-0.25375 	 0.56 	 1.04125 	23.7 	
-5 	 14 	 1016 	0 	 0 	 90 	-0.23625 	 0.55125 	 1.2075 	23.7 	
3 	 9 	 1016 	0 	 0 	 90 	-0.30625 	 0.63 	 0.98 	23.7 	
-6 	 11 	 1019 	0 	 0 	 90 	-0.46375 	 0.665 	 0.09625 	23.7 	
-7 	 12 	 1016 	0 	 0 	 90 	-0.4025 	 0.58625 	 -0.14 	23.6 	
-9 	 10 	 1022 	0 	 0 	 89 	-0.3325 	 0.5425 	 -0.1925 	23.6 	
-5 	 11 	 1016 	0 	 0 	 90 	0.14 	 0.4025 	 -0.07875 	23.7 	
-6 	 11 	 1018 	0 	 0 	 90 	0.035 	 0.4375 	 -0.20125 	23.7 	
-8 	 11 	 1017 	0 	 0 	 90 	-0.00875 	 0.4725 	 -0.32375 	23.6 	
-8 	 11 	 1018 	0 	 0 	 90 	-0.0175 	 0.46375 	 -0.385 	23.6 	
-7 	 12 	 1018 	0 	 0 	 90 	0.035 	 0.4025 	 -0.39375 	23.6 	
-7 	 13 	 1016 	0 	 0 	 90 	-0.00875 	 0.42 	 -0.4025 	23.6 	
-6 	 13 	 1016 	0 	 0 	 90 	-0.105 	 0.46375 	 -0.32375 	23.6 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.18375 	 0.5075 	 -0.28875 	23.6 	
-8 	 12 	 1018 	0 	 0 	 90 	-0.20125 	 0.51625 	 -0.25375 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.14875 	 0.49875 	 -0.25375 	23.6 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.06125 	 0.48125 	 -0.315 	23.6 	
-7 	 11 	 1018 	0 	 0 	 90 	-0.06125 	 0.46375 	 -0.3325 	23.6 	
-7 	 13 	 1016 	0 	 0 	 90 	-0.11375 	 0.48125 	 -0.32375 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.18375 	 0.51625 	 -0.2975 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.1925 	 0.525 	 -0.3325 	23.6 	
-7 	 12 	 1018 	0 	 0 	 90 	-0.175 	 0.49875 	 -0.315 	23.6 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.105 	 0.48125 	 -0.34125 	23.6 	
-6 	 12 	 1016 	0 	 0 	 90 	0.00875 	 0.42875 	 -0.34125 	23.6 	
-5 	 13 	 1016 	0 	 0 	 90 	-0.0175 	 0.44625 	 -0.3675 	23.7 	
-7 	 13 	 1016 	0 	 0 	 90 	-0.07 	 0.4725 	 -0.385 	23.7 	
-7 	 13 	 1017 	0 	 0 	 90 	-0.14875 	 0.51625 	 -0.3675 	23.6 	
-6 	 14 	 1016 	0 	 0 	 90 	-0.28 	 0.5775 	 -0.2975 	23.6 	
-7 	 13 	 1018 	0 	 0 	 90 	-0.30625 	 0.5425 	 -0.25375 	23.7 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.21875 	 0.53375 	 -0.2275 	23.7 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.23625 	 0.5075 	 -0.23625 	23.7 	
-7 	 11 	 1018 	0 	 0 	 90 	-0.245 	 0.49875 	 -0.27125 	23.7 	
-8 	 11 	 1019 	0 	 0 	 90 	-0.175 	 0.48125 	 -0.2975 	23.6 	
-7 	 10 	 1017 	0 	 0 	 90 	-0.0875 	 0.4375 	 -0.3325 	23.6 	
-7 	 11 	 1017 	0 	 0 	 90 	0 	 0.44625 	 -0.35 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.0525 	 0.455 	 -0.34125 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.13125 	 0.49 	 -0.35875 	23.7 	
-7 	 13 	 1017 	0 	 0 	 90 	-0.14 	 0.49 	 -0.35 	23.7 	
-6 	 13 	 1017 	0 	 0 	 90 	-0.105 	 0.5075 	 -0.32375 	23.7 	
-6 	 13 	 1017 	0 	 0 	 90 	-0.14875 	 0.5425 	 -0.32375 	23.7 	
-6 	 13 	 1017 	0 	 0 	 90 	-0.175 	 0.5775 	 -0.28 	23.7 	
-8 	 13 	 1016 	0 	 0 	 90 	-0.20125 	 0.525 	 -0.2975 	23.7 	
-8 	 12 	 1018 	0 	 0 	 90 	-0.25375 	 0.53375 	 -0.2975 	23.7 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.2625 	 0.55125 	 -0.30625 	23.7 	
-7 	 12 	 1018 	0 	 0 	 90 	-0.245 	 0.55125 	 -0.28875 	23.6 	
-7 	 11 	 1019 	0 	 0 	 90 	-0.2275 	 0.49 	 -0.315 	23.6 	
-7 	 13 	 1018 	0 	 0 	 90 	-0.21 	 0.51625 	 -0.315 	23.7 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.18375 	 0.5075 	 -0.30625 	23.7 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.20125 	 0.53375 	 -0.3325 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.21 	 0.53375 	 -0.34125 	23.6 	
-7 	 11 	 1018 	0 	 0 	 90 	-0.2275 	 0.525 	 -0.35 	23.6 	
-7 	 11 	 1018 	0 	 0 	 90 	-0.23625 	 0.56 	 -0.34125 	23.6 	
-7 	 13 	 1017 	0 	 0 	 90 	-0.21 	 0.49875 	 -0.37625 	23.7 	
-7 	 13 	 1017 	0 	 0 	 90 	-0.1925 	 0.49875 	 -0.34125 	23.7 	
-6 	 13 	 1017 	0 	 0 	 90 	-0.25375 	 0.48125 	 -0.315 	23.6 	
-5 	 13 	 1017 	0 	 0 	 90 	-0.27125 	 0.53375 	 -0.28875 	23.6 	
-8 	 13 	 1016 	0 	 0 	 90 	-0.28875 	 0.5775 	 -0.2625 	23.6 	
-8 	 12 	 1019 	0 	 0 	 90 	-0.2625 	 0.56 	 -0.28875 	23.6 	
-7 	 10 	 1019 	0 	 0 	 90 	-0.21 	 0.5425 	 -0.32375 	23.7 	
-7 	 12 	 1016 	0 	 0 	 90 	-0.16625 	 0.51625 	 -0.28875 	23.7 	
-7 	 11 	 1016 	0 	 0 	 90 	-0.175 	 0.53375 	 -0.315 	23.6 	
-8 	 11 	 1018 	0 	 0 	 90 	-0.1925 	 0.55125 	 -0.2975 	23.6 	
-8 	 11 	 1017 	0 	 0 	 90 	-0.175 	 0.48125 	 -0.315 	23.6 	
-6 	 13 	 1018 	0 	 0 	 90 	-0.20125 	 0.49875 	 -0.2975 	23.6 	
-6 	 13 	 1016 	0 	 0 	 90 	-0.14 	 0.525 	 -0.2975 	23.6 	
-6 	 14 	 1017 	0 	 0 	 90 	-0.175 	 0.53375 	 -0.315 	23.6 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.1925 	 0.55125 	 -0.32375 	23.6 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.21875 	 0.56875 	 -0.2975 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.2975 	 0.5425 	 -0.245 	23.6 	
-8 	 10 	 1017 	0 	 0 	 90 	-0.25375 	 0.5075 	 -0.30625 	23.6 	
-7 	 11 	 1017 	0 	 0 	 90 	-0.28875 	 0.525 	 -0.315 	23.6 	
-6 	 12 	 1016 	0 	 0 	 90 	-0.27125 	 0.51625 	 -0.28875 	23.6 	
-7 	 13 	 1016 	0 	 0 	 90 	-0.25375 	 0.5075 	 -0.2975 	23.6 	
-6 	 13 	 1017 	0 	 0 	 90 	-0.315 	 0.5775 	 -0.27125 	23.6 	
-6 	 13 	 1018 	0 	 0 	 90 	-0.2975 	 0.58625 	 -0.245 	23.7 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.28 	 0.60375 	 -0.245 	23.7 	
-7 	 11 	 1018 	0 	 0 	 90 	-0.1575 	 0.53375 	 -0.2625 	23.6 	
-7 	 11 	 1017 	0 	 0 	 90 	-0.18375 	 0.53375 	 -0.2975 	23.6 	
-8 	 12 	 1016 	0 	 0 	 90 	-0.20125 	 0.4725 	 -0.2975 	23.7 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.2975 	 0.49875 	 -0.30625 	23.7 	
-6 	 13 	 1016 	0 	 0 	 90 	-0.35875 	 0.58625 	 -0.2975 	23.7 	
-6 	 12 	 1019 	0 	 0 	 90 	-0.4375 	 0.6125 	 -0.245 	23.7 	
-7 	 13 	 1017 	0 	 0 	 90 	-0.34125 	 0.56875 	 -0.20125 	23.7 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.2625 	 0.5775 	 -0.2275 	23.7 	
-8 	 12 	 1017 	0 	 0 	 90 	-0.245 	 0.53375 	 -0.25375 	23.6 	
-7 	 12 	 1016 	0 	 0 	 90 	-0.25375 	 0.5075 	 -0.25375 	23.6 	
-6 	 11 	 1018 	0 	 0 	 90 	-0.2625 	 0.5425 	 -0.20125 	23.7 	
-6 	 10 	 1018 	0 	 0 	 90 	-0.16625 	 0.51625 	 -0.23625 	23.7 	
-8 	 11 	 1018 	0 	 0 	 90 	-0.18375 	 0.4725 	 -0.28 	23.7 	
-7 	 12 	 1018 	0 	 0 	 90 	-0.14 	 0.5075 	 -0.2975 	23.7 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.09625 	 0.46375 	 -0.3325 	23.6 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.175 	 0.48125 	 -0.315 	23.6 	
-6 	 13 	 1016 	0 	 0 	 90 	-0.23625 	 0.53375 	 -0.28 	23.7 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.2625 	 0.56 	 -0.28875 	23.7 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.25375 	 0.55125 	 -0.315 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.245 	 0.5075 	 -0.28875 	23.6 	
-7 	 11 	 1017 	0 	 0 	 90 	-0.23625 	 0.5425 	 -0.28875 	23.7 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.2625 	 0.53375 	 -0.2975 	23.7 	
-8 	 12 	 1016 	0 	 0 	 90 	-0.25375 	 0.525 	 -0.2625 	23.6 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.34125 	 0.56 	 -0.20125 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.27125 	 0.58625 	 -0.21 	23.7 	
-6 	 12 	 1019 	0 	 0 	 90 	-0.245 	 0.595 	 -0.21 	23.7 	
-7 	 11 	 1017 	0 	 0 	 90 	-0.21875 	 0.5775 	 -0.25375 	23.7 	
-7 	 12 	 1018 	0 	 0 	 90 	-0.1575 	 0.49 	 -0.32375 	23.7 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.1575 	 0.525 	 -0.2975 	23.6 	
