STEVAL-MKI196V1 (LSM6DSO)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	A_X [deg] 	 A_Y [deg] 	 A_Z [deg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-25 	 2 	 1017 	-1 	 0 	 88 	-0.32375 	 0.51625 	 -0.21875 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.3325 	 0.55125 	 -0.2275 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.28 	 0.56875 	 -0.21875 	
-24 	 2 	 1016 	-1 	 0 	 88 	-0.27125 	 0.5425 	 -0.1925 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.32375 	 0.58625 	 -0.175 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.21 	 0.56 	 -0.16625 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.28 	 0.55125 	 -0.16625 	
-24 	 4 	 1018 	-1 	 0 	 88 	-0.34125 	 0.53375 	 -0.18375 	
-24 	 4 	 1017 	-1 	 0 	 88 	-0.28 	 0.5775 	 -0.18375 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.315 	 0.58625 	 -0.21875 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.3325 	 0.56 	 -0.23625 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.28 	 0.55125 	 -0.1925 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.245 	 0.49875 	 -0.18375 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.315 	 0.56875 	 -0.18375 	
-25 	 2 	 1017 	-1 	 0 	 88 	-0.2975 	 0.58625 	 -0.2275 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.25375 	 0.53375 	 -0.21 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.315 	 0.56 	 -0.175 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.2975 	 0.53375 	 -0.21 	
